[ 2025-02-03 21:18:42,596 ] 17 root - INFO - Initiate the data ingestion
[ 2025-02-03 21:18:51,683 ] 75 root - INFO - Performed train test split on the dataframe
[ 2025-02-03 21:18:51,683 ] 77 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-03 21:18:51,683 ] 85 root - INFO - Exporting train and test file path.
[ 2025-02-03 21:18:51,690 ] 94 root - INFO - Exported train and test file path.
[ 2025-02-03 21:18:51,690 ] 19 root - INFO - Data Initiation Completed
[ 2025-02-03 21:18:51,692 ] 23 root - INFO - Initiate the data Validation
[ 2025-02-03 21:18:51,695 ] 32 root - INFO - Required number of columns:3
[ 2025-02-03 21:18:51,695 ] 33 root - INFO - Data frame has columns:6
[ 2025-02-03 21:18:51,695 ] 32 root - INFO - Required number of columns:3
[ 2025-02-03 21:18:51,695 ] 33 root - INFO - Data frame has columns:6
[ 2025-02-03 21:18:51,714 ] 25 root - INFO - data Validation Completed
[ 2025-02-03 21:18:51,714 ] 28 root - INFO - data Transformation started
[ 2025-02-03 21:18:51,714 ] 60 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-03 21:18:51,714 ] 62 root - INFO - Starting data transformation
[ 2025-02-03 21:18:51,716 ] 36 root - INFO - Creating data transformation pipeline
[ 2025-02-03 21:18:51,722 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-03 21:18:51,722 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-03 21:18:51,722 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-03 21:18:51,722 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-03 21:18:51,722 ] 32 root - INFO - data Transformation completed
